time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-19 00:00:00+00:00,3,3,0,0
2023-02-20 00:00:00+00:00,6,6,8,5
2023-02-21 00:00:00+00:00,5,5,24,13
2023-02-22 00:00:00+00:00,5,5,6,6
2023-02-23 00:00:00+00:00,4,4,13,10
2023-02-24 00:00:00+00:00,4,4,19,15
2023-02-25 00:00:00+00:00,3,3,2,2
2023-02-26 00:00:00+00:00,4,4,3,3
2023-02-27 00:00:00+00:00,4,4,30,11
2023-02-28 00:00:00+00:00,4,4,13,10
2023-03-01 00:00:00+00:00,13,13,15,11
2023-03-02 00:00:00+00:00,12,9,6,4
2023-03-03 00:00:00+00:00,3,3,9,4
2023-03-04 00:00:00+00:00,4,4,2,2
2023-03-05 00:00:00+00:00,5,5,2,2
2023-03-06 00:00:00+00:00,5,5,9,9
2023-03-07 00:00:00+00:00,6,5,17,12
2023-03-08 00:00:00+00:00,3,3,18,16
2023-03-09 00:00:00+00:00,7,6,16,14
2023-03-10 00:00:00+00:00,3,3,13,11
2023-03-11 00:00:00+00:00,3,3,4,4
2023-03-12 00:00:00+00:00,3,3,5,2
2023-03-13 00:00:00+00:00,4,4,7,6
2023-03-14 00:00:00+00:00,3,3,8,5
2023-03-15 00:00:00+00:00,6,6,3,2
2023-03-16 00:00:00+00:00,3,3,14,12
2023-03-17 00:00:00+00:00,4,4,13,11
2023-03-18 00:00:00+00:00,4,4,11,8
2023-03-19 00:00:00+00:00,3,3,4,4
2023-03-20 00:00:00+00:00,6,6,67,21
2023-03-21 00:00:00+00:00,4,4,23,14
2023-03-22 00:00:00+00:00,4,4,23,19
2023-03-23 00:00:00+00:00,5,5,25,14
2023-03-24 00:00:00+00:00,3,3,19,9
2023-03-25 00:00:00+00:00,5,5,3,3
2023-03-26 00:00:00+00:00,3,3,3,3
2023-03-27 00:00:00+00:00,4,4,17,12
2023-03-28 00:00:00+00:00,4,4,10,9
2023-03-29 00:00:00+00:00,4,4,11,10
2023-03-30 00:00:00+00:00,5,5,14,10
2023-03-31 00:00:00+00:00,4,4,39,8
2023-04-01 00:00:00+00:00,4,4,1,1
2023-04-02 00:00:00+00:00,4,4,2,2
2023-04-03 00:00:00+00:00,4,4,14,10
2023-04-04 00:00:00+00:00,5,5,12,7
2023-04-05 00:00:00+00:00,3,3,15,7
2023-04-06 00:00:00+00:00,4,4,7,5
2023-04-07 00:00:00+00:00,5,5,1,1
2023-04-08 00:00:00+00:00,3,3,3,3
2023-04-09 00:00:00+00:00,3,3,1,1
2023-04-10 00:00:00+00:00,4,4,19,9
2023-04-11 00:00:00+00:00,5,5,10,5
2023-04-12 00:00:00+00:00,5,5,11,9
2023-04-13 00:00:00+00:00,6,6,13,9
2023-04-14 00:00:00+00:00,3,3,8,8
2023-04-15 00:00:00+00:00,6,5,0,0
2023-04-16 00:00:00+00:00,3,3,0,0
2023-04-17 00:00:00+00:00,6,5,12,10
2023-04-18 00:00:00+00:00,4,4,10,5
2023-04-19 00:00:00+00:00,5,4,9,8
2023-04-20 00:00:00+00:00,7,5,13,10
2023-04-21 00:00:00+00:00,5,4,9,8
2023-04-22 00:00:00+00:00,5,4,3,3
2023-04-23 00:00:00+00:00,7,6,1,1
2023-04-24 00:00:00+00:00,6,5,9,8
2023-04-25 00:00:00+00:00,5,4,4,4
2023-04-26 00:00:00+00:00,5,4,4,4
2023-04-27 00:00:00+00:00,5,4,2,2
2023-04-28 00:00:00+00:00,5,4,5,3
2023-04-29 00:00:00+00:00,6,5,5,5
2023-04-30 00:00:00+00:00,7,6,0,0
2023-05-01 00:00:00+00:00,6,5,3,3
2023-05-02 00:00:00+00:00,5,4,3,3
2023-05-03 00:00:00+00:00,6,5,8,6
2023-05-04 00:00:00+00:00,5,4,5,3
